,Año,Trimestre,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Total
0,2022,3,33,96,1161370,1151906,823505,479822,6995750,349,11091128
1,2022,2,33,99,1193090,1197030,856562,485321,6741922,351,10958684
2,2022,1,34,104,1263273,1209148,967508,509830,6336187,198,10624009
3,2021,4,41,28,1413208,1245333,976539,558358,6032322,194,10489794
4,2021,3,40,41,2550229,1095772,710122,536364,4948174,163,10085541
5,2021,2,40,42,2531271,1080279,693277,647401,4661291,167,9863084
6,2021,1,39,41,2593477,1072722,737930,595920,4379965,186,9647972
7,2020,4,39,42,2622638,1073875,786595,582420,4239237,185,9571562
8,2020,3,41,44,2637984,1040017,799350,538567,4053461,201,9356199
9,2020,2,41,48,2651502,1053107,807775,523437,3711499,194,9031056
10,2020,1,42,56,2649819,1022014,814470,532309,3500882,194,8812426
11,2019,4,38,28,2792307,1046128,851619,1004083,2830746,201,8793181
12,2019,3,241,80,3309137,1026859,806466,1141545,2314898,243,9164684
13,2019,2,202,95,3444458,871142,1169632,1250366,1677830,247,8960181
14,2019,1,166,195,3428759,882836,1464748,1244215,1138728,126,8648135
15,2018,4,138,201,3337982,882388,1472634,1688748,599579,152,8473655
16,2018,3,5,220,3401277,859413,1607137,1571692,524777,156,8347035
17,2018,2,5,219,3316868,979416,1905839,1000036,444391,238,8110444
18,2018,1,7,215,3272724,976956,2068087,862010,397977,236,8037053
19,2017,4,15,221,3773159,1005545,1730353,631946,337559,155,7870222
20,2017,3,19,217,4062226,1062810,1592304,353480,245790,0,7553629
21,2017,2,22,222,4416065,990281,1342000,231604,98635,0,7323717
22,2017,1,20,230,4584534,975027,1129987,210668,47990,0,7199018
23,2016,4,20,233,4673339,971094,1038029,169522,38590,0,7144696
24,2016,3,20,294,4816081,936533,919208,124564,31022,0,7141925
25,2016,2,44,384,5058481,796998,785759,73977,29020,0,7172464
26,2016,1,30,404,4944358,762999,641646,27664,23380,0,6835285
27,2015,4,34,427,5049640,726740,639011,17568,22170,0,6916766
28,2015,3,35,455,5087802,701187,539414,13101,20677,0,6852988
29,2015,2,40,500,5138431,645440,432762,10045,18529,0,6786105
30,2015,1,41,516,5121423,571620,348102,7643,16347,0,6623212
31,2014,4,44,554,5084556,496251,276254,4371,15229,0,6475485
32,2014,3,37,608,5153437,373372,182483,507,12424,0,6367671
33,2014,2,41,656,5149574,341689,147273,478,12259,0,6348745
34,2014,1,52,687,5130294,289182,101127,345,11595,0,6272846
